trade-date,index,,index2
20100728,0.000144711,1.45E+01,14.4711
20100729,0.00025593,2.56E+01,25.593
20100730,0.000139866,1.40E+01,13.9866
20100802,8.72E-05,8.72E+00,8.72
20100803,9.32E-05,9.32E+00,9.32
20100804,8.22E-05,8.22E+00,8.22
20100805,6.88E-05,6.88E+00,6.88
20100806,0.00020517,2.05E+01,20.517
20100809,7.85E-05,7.85E+00,7.85
20100810,0.000116343,1.16E+01,11.6343
20100811,6.56E-05,6.56E+00,6.56
20100812,0.000128348,1.28E+01,12.8348
20100813,9.87E-05,9.87E+00,9.87
20100816,0.00011814,1.18E+01,11.814
20100817,0.000114646,1.15E+01,11.4646
20100818,0.000122991,1.23E+01,12.2991
20100819,0.000133677,1.34E+01,13.3677
20100820,0.000120032,1.20E+01,12.0032
20100823,7.59E-05,7.59E+00,7.59
20100824,6.73E-05,6.73E+00,6.73
20100825,0.000114838,1.15E+01,11.4838
20100826,0.000181924,1.82E+01,18.1924
20100827,0.000125737,1.26E+01,12.5737
20100830,6.36E-05,6.36E+00,6.36
20100831,0.000155585,1.56E+01,15.5585
20100901,0.000122786,1.23E+01,12.2786
20100902,0.000109077,1.09E+01,10.9077
20100903,0.000174569,1.75E+01,17.4569
20100906,3.30E-05,3.30E+00,3.3
20100907,0.000119831,1.20E+01,11.9831
20100908,0.00010721,1.07E+01,10.721
20100909,9.78E-05,9.78E+00,9.78
20100910,0.000139701,1.40E+01,13.9701
20100913,7.25E-05,7.25E+00,7.25
20100914,7.73E-05,7.73E+00,7.73
20100915,0.000108649,1.09E+01,10.8649
20100916,9.65E-05,9.65E+00,9.65
20100917,8.41E-05,8.41E+00,8.41
20100920,8.73E-05,8.73E+00,8.73
20100921,0.000132504,1.33E+01,13.2504
20100922,8.14E-05,8.14E+00,8.14
20100923,9.86E-05,9.86E+00,9.86
20100924,9.28E-05,9.28E+00,9.28
20100927,0.000131653,1.32E+01,13.1653
20100928,0.000103111,1.03E+01,10.3111
20100929,6.79E-05,6.79E+00,6.79
20100930,0.000121251,1.21E+01,12.1251
20101001,5.04E-05,5.04E+00,5.04
20101004,0.000100684,1.01E+01,10.0684
20101005,7.26E-05,7.26E+00,7.26
20101006,5.66E-05,5.66E+00,5.66
20101007,0.000142091,1.42E+01,14.2091
20101008,0.000245018,2.45E+01,24.5018
20101011,0.000110234,1.10E+01,11.0234
20101012,0.000121998,1.22E+01,12.1998
20101013,5.67E-05,5.67E+00,5.67
20101014,0.00010435,1.04E+01,10.435
20101015,0.000147355,1.47E+01,14.7355
20101018,9.72E-05,9.72E+00,9.72
20101019,0.000202882,2.03E+01,20.2882
20101020,9.98E-05,9.98E+00,9.98
20101021,0.000107606,1.08E+01,10.7606
20101022,0.000145581,1.46E+01,14.5581
20101025,9.87E-05,9.87E+00,9.87
20101026,7.68E-05,7.68E+00,7.68
20101027,5.50E-05,5.50E+00,5.5
20101028,5.14E-05,5.14E+00,5.14
20101029,6.47E-05,6.47E+00,6.47
20101101,0.000237169,2.37E+01,23.7169
20101102,8.37E-05,8.37E+00,8.37
20101103,8.37E-05,8.37E+00,8.37
20101104,8.59E-05,8.59E+00,8.59
20101105,7.97E-05,7.97E+00,7.97
20101108,7.25E-05,7.25E+00,7.25
20101109,5.40E-05,5.40E+00,5.4
20101110,8.96E-05,8.96E+00,8.96
20101111,5.26E-05,5.26E+00,5.26
20101112,0.000128785,1.29E+01,12.8785
20101115,6.67E-05,6.67E+00,6.67
20101116,9.52E-05,9.52E+00,9.52
20101117,0.000119722,1.20E+01,11.9722
20101118,6.66E-05,6.66E+00,6.66
20101119,0.000162603,1.63E+01,16.2603
20101122,7.81E-05,7.81E+00,7.81
20101123,0.000121425,1.21E+01,12.1425
20101124,9.39E-05,9.39E+00,9.39
20101125,3.78E-05,3.78E+00,3.78
20101126,6.96E-05,6.96E+00,6.96
20101129,8.69E-05,8.69E+00,8.69
20101130,8.04E-05,8.04E+00,8.04
20101201,6.31E-05,6.31E+00,6.31
20101202,9.74E-05,9.74E+00,9.74
20101203,0.000131208,1.31E+01,13.1208
20101206,8.55E-05,8.55E+00,8.55
20101207,8.17E-05,8.17E+00,8.17
20101208,7.88E-05,7.88E+00,7.88
20101209,0.00011713,1.17E+01,11.713
20101210,7.45E-05,7.45E+00,7.45
20101213,5.04E-05,5.04E+00,5.04
20101214,7.93E-05,7.93E+00,7.93
20101215,0.000119111,1.19E+01,11.9111
20101216,5.37E-05,5.37E+00,5.37
20101217,5.02E-05,5.02E+00,5.02
20101220,2.67E-05,2.67E+00,2.67
20101221,6.41E-05,6.41E+00,6.41
20101222,2.52E-05,2.52E+00,2.52
20101223,2.69E-05,2.69E+00,2.69
20101227,2.93E-05,2.93E+00,2.93
20101228,2.20E-05,2.20E+00,2.2
20101229,2.19E-05,2.19E+00,2.19
20101230,5.66E-05,5.66E+00,5.66
20101231,6.67E-05,6.67E+00,6.67
20110103,6.30E-05,6.30E+00,6.3
20110104,7.13E-05,7.13E+00,7.13
20110105,9.99E-05,9.99E+00,9.99
20110106,8.13E-05,8.13E+00,8.13
20110107,0.000118682,1.19E+01,11.8682
20110110,0.000155707,1.56E+01,15.5707
20110111,5.67E-05,5.67E+00,5.67
20110112,6.03E-05,6.03E+00,6.03
20110113,5.63E-05,5.63E+00,5.63
20110114,5.92E-05,5.92E+00,5.92
20110117,2.77E-05,2.77E+00,2.77
20110118,6.41E-05,6.41E+00,6.41
20110119,4.33E-05,4.33E+00,4.33
20110120,0.000117558,1.18E+01,11.7558
20110121,6.57E-05,6.57E+00,6.57
20110124,0.000105328,1.05E+01,10.5328
20110125,8.11E-05,8.11E+00,8.11
20110126,6.31E-05,6.31E+00,6.31
20110127,8.29E-05,8.29E+00,8.29
20110128,0.000116267,1.16E+01,11.6267
20110131,0.000223668,2.24E+01,22.3668
20110201,0.000107006,1.07E+01,10.7006
20110202,8.12E-05,8.12E+00,8.12
20110203,8.98E-05,8.98E+00,8.98
20110204,0.000115244,1.15E+01,11.5244
20110207,0.000113789,1.14E+01,11.3789
20110208,0.000132916,1.33E+01,13.2916
20110209,8.62E-05,8.62E+00,8.62
20110210,0.000163457,1.63E+01,16.3457
20110211,0.000103792,1.04E+01,10.3792
20110214,0.000103945,1.04E+01,10.3945
20110215,6.18E-05,6.18E+00,6.18
20110216,3.77E-05,3.77E+00,3.77
20110217,8.06E-05,8.06E+00,8.06
20110218,7.46E-05,7.46E+00,7.46
20110221,0.000125551,1.26E+01,12.5551
20110222,0.000387208,3.87E+01,38.7208
20110223,0.000169622,1.70E+01,16.9622
20110224,0.000489278,4.89E+01,48.9278
20110225,0.000359612,3.60E+01,35.9612
20110228,0.000234597,2.35E+01,23.4597
20110301,0.000113761,1.14E+01,11.3761
20110302,0.000148935,1.49E+01,14.8935
20110303,0.000123768,1.24E+01,12.3768
20110304,7.78E-05,7.78E+00,7.78
20110307,0.000171559,1.72E+01,17.1559
20110308,0.000214059,2.14E+01,21.4059
20110309,7.97E-05,7.97E+00,7.97
20110310,0.000226088,2.26E+01,22.6088
20110311,0.000279064,2.79E+01,27.9064
20110314,0.000214091,2.14E+01,21.4091
20110315,0.000341644,3.42E+01,34.1644
20110316,0.000131648,1.32E+01,13.1648
20110317,9.53E-05,9.53E+00,9.53
20110318,0.000598136,5.98E+01,59.8136
20110321,0.000128444,1.28E+01,12.8444
20110322,0.000109779,1.10E+01,10.9779
20110323,9.16E-05,9.16E+00,9.16
20110324,8.52E-05,8.52E+00,8.52
20110325,8.58E-05,8.58E+00,8.58
20110328,7.17E-05,7.17E+00,7.17
20110329,6.66E-05,6.66E+00,6.66
20110330,4.01E-05,4.01E+00,4.01
20110331,0.000104316,1.04E+01,10.4316
20110401,9.75E-05,9.75E+00,9.75
20110404,6.14E-05,6.14E+00,6.14
20110405,5.75E-05,5.75E+00,5.75
20110406,4.88E-05,4.88E+00,4.88
20110407,3.71E-05,3.71E+00,3.71
20110408,3.02E-05,3.02E+00,3.02
20110411,6.24E-05,6.24E+00,6.24
20110412,0.000224413,2.24E+01,22.4413
20110413,0.000135379,1.35E+01,13.5379
20110414,0.000175824,1.76E+01,17.5824
20110415,8.69E-05,8.69E+00,8.69
20110418,0.000130197,1.30E+01,13.0197
20110419,0.000137764,1.38E+01,13.7764
20110420,4.93E-05,4.93E+00,4.93
20110421,6.61E-05,6.61E+00,6.61
20110425,6.44E-05,6.44E+00,6.44
20110426,5.57E-05,5.57E+00,5.57
20110427,3.53E-05,3.53E+00,3.53
20110428,5.95E-05,5.95E+00,5.95
20110429,4.41E-05,4.41E+00,4.41
20110502,0.000209573,2.10E+01,20.9573
20110503,0.000125942,1.26E+01,12.5942
20110504,8.74E-05,8.74E+00,8.74
20110505,0.000229567,2.30E+01,22.9567
20110506,0.002014515,2.01E+02,201.4515
20110509,0.00022288,2.23E+01,22.288
20110510,0.000230906,2.31E+01,23.0906
20110511,0.000269568,2.70E+01,26.9568
20110512,0.000744659,7.45E+01,74.4659
20110513,0.000219152,2.19E+01,21.9152
20110516,0.000158707,1.59E+01,15.8707
20110517,0.000128363,1.28E+01,12.8363
20110518,0.000137509,1.38E+01,13.7509
20110519,9.99E-05,9.99E+00,9.99
20110520,0.000237142,2.37E+01,23.7142
20110523,0.000218935,2.19E+01,21.8935
20110524,9.31E-05,9.31E+00,9.31
20110525,0.000144245,1.44E+01,14.4245
20110526,0.000124689,1.25E+01,12.4689
20110527,5.50E-05,5.50E+00,5.5
20110530,1.13E-05,1.13E+00,1.13
20110531,0.000108645,1.09E+01,10.8645
20110601,9.88E-05,9.88E+00,9.88
20110602,0.000102349,1.02E+01,10.2349
20110603,0.000203746,2.04E+01,20.3746
20110606,0.000101611,1.02E+01,10.1611
20110607,0.000109321,1.09E+01,10.9321
20110608,0.000225364,2.25E+01,22.5364
20110609,9.48E-05,9.48E+00,9.48
20110610,0.000103245,1.03E+01,10.3245
20110613,0.000119133,1.19E+01,11.9133
20110614,0.000127322,1.27E+01,12.7322
20110615,0.000110126,1.10E+01,11.0126
20110616,0.000224631,2.25E+01,22.4631
20110617,0.000338446,3.38E+01,33.8446
20110620,0.000119949,1.20E+01,11.9949
